seqnames	start	end	beta	pval	qval
chr12	34503576	34558539	-0.712405130658255	1.33452194754795e-06	0.00525741892619823
chr5	145235004	145236392	-1.25380172433598	1.33452194754795e-06	0.00525741892619823
chr8	97505593	97507568	1.41347856818408	1.33452194754795e-06	0.00525741892619823
chr13	112757945	112761233	1.10416189072023	1.33452194754795e-06	0.00525741892619823
chr13	110958832	110960589	1.47557332606285	1.33452194754795e-06	0.00525741892619823
chr20	61636172	61638799	1.08400186583769	1.33452194754795e-06	0.00525741892619823
chr20	21487529	21498869	0.943494712692073	1.33452194754795e-06	0.00525741892619823
chr13	28496379	28499294	1.2632815859483	1.33452194754795e-06	0.00525741892619823
chr20	24449873	24451988	1.20582622493059	1.33452194754795e-06	0.00525741892619823
chr13	107028903	107029571	-1.5634185629021	1.33452194754795e-06	0.00525741892619823
chr7	600904	601626	1.16750471824614	1.33452194754795e-06	0.00525741892619823
chr12	34486090	34502470	-0.712997226847642	1.33452194754795e-06	0.00525741892619823
chr12	34439886	34462889	-0.582940756938301	2.6690438950959e-06	0.00525741892619823
chr11	34534812	34535708	-1.03263629378747	2.6690438950959e-06	0.00525741892619823
chr11	334108	334897	-1.1169927339013	2.6690438950959e-06	0.00525741892619823
chr7	88388622	88389510	1.08308264472108	2.6690438950959e-06	0.00525741892619823
chr2	222434619	222435709	1.42755562832091	2.6690438950959e-06	0.00525741892619823
chr10	7450185	7455268	1.13217873830262	2.6690438950959e-06	0.00525741892619823
chr20	59826978	59829497	1.4144812945982	2.6690438950959e-06	0.00525741892619823
chr13	111819373	111819624	1.04861893083863	2.6690438950959e-06	0.00525741892619823
chr2	95940851	95942865	1.32074795634355	2.6690438950959e-06	0.00525741892619823
chr13	27334391	27335360	1.12547550429971	2.6690438950959e-06	0.00525741892619823
chr2	45155141	45157152	1.27477303719486	2.6690438950959e-06	0.00525741892619823
chr11	32455423	32458037	1.17292565424829	2.6690438950959e-06	0.00525741892619823
chr19	38885234	38886856	1.16986070874145	2.6690438950959e-06	0.00525741892619823
chr13	30053574	30054648	-1.02579219234683	2.6690438950959e-06	0.00525741892619823
chr7	19155785	19157813	1.00923410331228	2.6690438950959e-06	0.00525741892619823
chr5	134363144	134367680	1.23278368688331	2.6690438950959e-06	0.00525741892619823
chr21	38074376	38083731	0.826868300649448	2.6690438950959e-06	0.00525741892619823
chr11	128562353	128565102	1.18901439833107	2.6690438950959e-06	0.00525741892619823
chr12	125073632	125073761	-1.29962359215713	2.6690438950959e-06	0.00525741892619823
chr20	37351760	37357918	0.773499511433855	2.6690438950959e-06	0.00525741892619823
chr2	63278887	63286536	0.948802729830173	2.6690438950959e-06	0.00525741892619823
chr12	68758675	68758979	-0.897815120121147	2.6690438950959e-06	0.00525741892619823
chr11	130201307	130201554	-1.2064527114068	2.6690438950959e-06	0.00525741892619823
chr12	64061794	64063297	1.06645177972823	2.6690438950959e-06	0.00525741892619823
chr3	49377993	49378276	-1.08476628474724	2.6690438950959e-06	0.00525741892619823
chr20	23406714	23406816	-2.24799666370074	2.6690438950959e-06	0.00525741892619823
chr19	18415512	18416001	-1.08768261459469	2.6690438950959e-06	0.00525741892619823
chr3	64142843	64143038	-1.05193561359415	2.6690438950959e-06	0.00525741892619823
chr6	133561506	133564088	1.07757497828201	2.6690438950959e-06	0.00525741892619823
chr11	129613374	129613883	-1.3293688576902	2.6690438950959e-06	0.00525741892619823
chr20	58179898	58180812	1.26672255988958	4.00356584264385e-06	0.00525741892619823
chr11	65359459	65360327	1.32931785774653	4.00356584264385e-06	0.00525741892619823
chr8	145104692	145107363	1.51194715394747	4.00356584264385e-06	0.00525741892619823
chr19	52839221	52840152	1.25766663767798	4.00356584264385e-06	0.00525741892619823
chr2	233387558	233389221	1.16310327049473	4.00356584264385e-06	0.00525741892619823
chr14	57261053	57266108	0.758034662578966	4.00356584264385e-06	0.00525741892619823
chr4	122632774	122632932	-1.08107503463097	4.00356584264385e-06	0.00525741892619823
chr8	126011696	126012434	-1.02777560510979	4.00356584264385e-06	0.00525741892619823
chr17	78796929	78797137	-0.954612093510026	4.00356584264385e-06	0.00525741892619823
chr3	142838828	142840437	1.26001019274368	4.00356584264385e-06	0.00525741892619823
chr1	984207	986994	0.95592307301746	4.00356584264385e-06	0.00525741892619823
chr17	75368620	75370662	1.33009899191812	4.00356584264385e-06	0.00525741892619823
chr7	155794819	155795476	0.881098745105957	4.00356584264385e-06	0.00525741892619823
chr12	95941530	95942978	0.907385416691487	4.00356584264385e-06	0.00525741892619823
chr5	127872958	127874825	1.17028765343747	4.00356584264385e-06	0.00525741892619823
chr10	14994986	14995625	-0.991381580690632	4.00356584264385e-06	0.00525741892619823
chr10	118030946	118033995	1.11748772340858	4.00356584264385e-06	0.00525741892619823
chr1	171810593	171811671	1.07757703978487	4.00356584264385e-06	0.00525741892619823
chr13	73649817	73650042	1.02440936710465	4.00356584264385e-06	0.00525741892619823
chr1	8181546	8183104	-1.36701644535915	4.00356584264385e-06	0.00525741892619823
chrX	139582649	139591414	1.05963262162511	4.00356584264385e-06	0.00525741892619823
chr10	102891839	102897382	0.744215350301563	4.00356584264385e-06	0.00525741892619823
chr13	36044981	36045571	1.13867048395962	4.00356584264385e-06	0.00525741892619823
chr7	158774120	158775112	-0.870817160752117	5.3380877901918e-06	0.00525741892619823
chr5	170735858	170745539	0.821616996627217	5.3380877901918e-06	0.00525741892619823
chr20	41817801	41819194	1.12143062954045	5.3380877901918e-06	0.00525741892619823
chr13	25621027	25621600	1.10008687242786	5.3380877901918e-06	0.00525741892619823
chr13	113763951	113765301	1.13789233391511	5.3380877901918e-06	0.00525741892619823
chr20	55500094	55501181	0.965486474839829	5.3380877901918e-06	0.00525741892619823
chr10	131762920	131771801	0.720204251742243	5.3380877901918e-06	0.00525741892619823
chr2	3833632	3834353	-1.29112180975039	5.3380877901918e-06	0.00525741892619823
chr6	74289863	74290651	-1.12262143178218	5.3380877901918e-06	0.00525741892619823
chr21	43185069	43185884	-1.22388107021582	5.3380877901918e-06	0.00525741892619823
chr2	139536974	139538649	1.07335562897033	5.3380877901918e-06	0.00525741892619823
chr12	5017996	5020643	0.893161937008219	5.3380877901918e-06	0.00525741892619823
chr19	12266999	12267941	1.60074221369644	5.3380877901918e-06	0.00525741892619823
chr20	982700	983422	1.24087128789965	5.3380877901918e-06	0.00525741892619823
chr5	16179065	16180595	0.933641180163095	5.3380877901918e-06	0.00525741892619823
chr20	61808449	61810231	1.15724678894168	5.3380877901918e-06	0.00525741892619823
chr10	1445043	1446891	-0.866862728964976	5.3380877901918e-06	0.00525741892619823
chr20	23028957	23032217	0.980711738911819	5.3380877901918e-06	0.00525741892619823
chr8	67873217	67875816	1.39353530305075	5.3380877901918e-06	0.00525741892619823
chr13	112707647	112717873	0.700479398948711	5.3380877901918e-06	0.00525741892619823
chr19	3130678	3131528	-1.34539586874873	5.3380877901918e-06	0.00525741892619823
